nu = 0.250010, gamma = 3039.195382, recall = 0.007092, precision = 0.006849, auc = 0.000034, f1 = 0.006969
nu = 0.250010, gamma = 4520.353656, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.250010, gamma = 6723.357536, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.250010, gamma = 10000.000000, recall = 0.007092, precision = 0.006849, auc = 0.000031, f1 = 0.006969
nu = 0.300010, gamma = 0.100000, recall = 0.255319, precision = 0.246575, auc = 0.057622, f1 = 0.250871
nu = 0.300010, gamma = 0.148735, recall = 0.255319, precision = 0.246575, auc = 0.057622, f1 = 0.250871
nu = 0.300010, gamma = 0.221222, recall = 0.255319, precision = 0.246575, auc = 0.057622, f1 = 0.250871
nu = 0.300010, gamma = 0.329034, recall = 0.255319, precision = 0.246575, auc = 0.057638, f1 = 0.250871
nu = 0.300010, gamma = 0.489390, recall = 0.255319, precision = 0.246575, auc = 0.057638, f1 = 0.250871
nu = 0.300010, gamma = 0.727895, recall = 0.255319, precision = 0.246575, auc = 0.057668, f1 = 0.250871
nu = 0.300010, gamma = 1.082637, recall = 0.255319, precision = 0.246575, auc = 0.057714, f1 = 0.250871
nu = 0.300010, gamma = 1.610262, recall = 0.255319, precision = 0.246575, auc = 0.057746, f1 = 0.250871
nu = 0.300010, gamma = 2.395027, recall = 0.255319, precision = 0.246575, auc = 0.057788, f1 = 0.250871
nu = 0.300010, gamma = 3.562248, recall = 0.255319, precision = 0.246575, auc = 0.057805, f1 = 0.250871
nu = 0.300010, gamma = 5.298317, recall = 0.255319, precision = 0.246575, auc = 0.058037, f1 = 0.250871
nu = 0.300010, gamma = 7.880463, recall = 0.262411, precision = 0.253425, auc = 0.060250, f1 = 0.257840
nu = 0.300010, gamma = 11.721023, recall = 0.262411, precision = 0.253425, auc = 0.060679, f1 = 0.257840
nu = 0.300010, gamma = 17.433288, recall = 0.269504, precision = 0.260274, auc = 0.063619, f1 = 0.264808
nu = 0.300010, gamma = 25.929438, recall = 0.269504, precision = 0.260274, auc = 0.065412, f1 = 0.264808
nu = 0.300010, gamma = 38.566204, recall = 0.262411, precision = 0.253425, auc = 0.067095, f1 = 0.257840
nu = 0.300010, gamma = 57.361525, recall = 0.269504, precision = 0.260274, auc = 0.080780, f1 = 0.264808
nu = 0.300010, gamma = 85.316785, recall = 0.312057, precision = 0.301370, auc = 0.118511, f1 = 0.306620
nu = 0.300010, gamma = 126.896100, recall = 0.347518, precision = 0.335616, auc = 0.151613, f1 = 0.341463
nu = 0.300010, gamma = 188.739182, recall = 0.368794, precision = 0.356164, auc = 0.175461, f1 = 0.362369
nu = 0.300010, gamma = 280.721620, recall = 0.382979, precision = 0.369863, auc = 0.195526, f1 = 0.376307
nu = 0.300010, gamma = 417.531894, recall = 0.446809, precision = 0.431507, auc = 0.246552, f1 = 0.439024
